source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	confidence	source	prediction_type	prediction_source
mondo	mondo:0006346	pancreatic acinar cell carcinoma	skos:exactMatch	icd11	icd11:449785448	Acinar cell carcinoma of pancreas	semapv:SemanticSimilarityThresholdMatching	0.96	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0005169	neoplasm of mature T-cells or NK-cells	skos:exactMatch	icd11	icd11:450630526	Mature T-cell or NK-cell neoplasms	semapv:SemanticSimilarityThresholdMatching	0.96	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0001019	suppression amblyopia	skos:exactMatch	icd11	icd11:450943820	Amblyopia, type not specified	semapv:SemanticSimilarityThresholdMatching	0.83	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0001969	mixed gonadal dysgenesis	skos:exactMatch	icd11	icd11:451241641	45, X, 46, XY gonadal dysgenesis	semapv:SemanticSimilarityThresholdMatching	0.55	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0015779	45,X/46,XY mixed gonadal dysgenesis	skos:exactMatch	icd11	icd11:451241641	45, X, 46, XY gonadal dysgenesis	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0003493	thymus squamous cell carcinoma	skos:exactMatch	icd11	icd11:451668197	Squamous cell carcinoma of thymus	semapv:SemanticSimilarityThresholdMatching	0.84	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0018540	PFAPA syndrome	skos:exactMatch	icd11	icd11:451775619	Periodic fever - aphthous stomatitis - pharyngitis - adenopathy	semapv:SemanticSimilarityThresholdMatching	0.78	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0800482	head injury	skos:exactMatch	icd11	icd11:452386362	Injuries to the head	semapv:SemanticSimilarityThresholdMatching	0.73	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0010294	X-linked severe congenital neutropenia	skos:exactMatch	icd11	icd11:452924218	X-linked severe congenital neutropaenia	semapv:SemanticSimilarityThresholdMatching	0.73	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0007721	hiatus hernia	skos:exactMatch	icd11	icd11:453532731	Diaphragmatic hernia	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0022839	congenital human immunodeficiency virus	skos:exactMatch	icd11	icd11:453730080	Congenital human immunodeficiency virus infection	semapv:SemanticSimilarityThresholdMatching	0.75	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0016304	classic pantothenate kinase-associated neurodegeneration	skos:exactMatch	icd11	icd11:453750085	Classic pantothenate kinase associated neurodegeneration	semapv:SemanticSimilarityThresholdMatching	0.83	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0004960	monoclonal gammopathy	skos:exactMatch	icd11	icd11:45411563	Monoclonal gammopathy of undetermined significance	semapv:SemanticSimilarityThresholdMatching	0.63	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
